iter	Passed	Remaining
401	14216	21147
402	14242	21098
403	14271	21053
404	14296	21003
405	14325	20958
406	14355	20915
407	14382	20868
408	14413	20826
409	14443	20784
410	14475	20745
411	14502	20697
412	14526	20646
413	14553	20600
414	14581	20555
415	14616	20519
416	14648	20479
417	14680	20440
418	14705	20391
419	14732	20344
420	14755	20292
421	14782	20246
422	14815	20209
423	14848	20171
424	14880	20133
425	14911	20091
426	14938	20045
427	14963	19998
428	14989	19950
429	15017	19907
430	15046	19863
431	15075	19821
432	15103	19778
433	15128	19730
434	15155	19684
435	15178	19635
436	15208	19593
437	15234	19547
438	15259	19500
439	15304	19478
440	15330	19432
441	15357	19388
442	15385	19344
443	15412	19300
444	15438	19254
445	15464	19209
446	15496	19171
447	15524	19128
448	15550	19083
449	15576	19037
450	15602	18992
451	15632	18952
452	15662	18912
453	15702	18884
454	15729	18840
455	15758	18799
456	15783	18754
457	15810	18709
458	15839	18669
459	15864	18623
460	15905	18596
461	15932	18553
462	15957	18507
463	15984	18464
464	16008	18418
465	16035	18375
466	16064	18334
467	16105	18308
468	16136	18269
469	16164	18227
470	16189	18182
471	16214	18137
472	16237	18091
473	16269	18054
474	16304	18020
475	16332	17979
476	16362	17940
477	16386	17895
478	16415	17855
479	16441	17811
480	16467	17768
481	16549	17785
482	16577	17744
483	16601	17698
484	16629	17658
485	16663	17623
486	16713	17606
487	16755	17579
488	16793	17549
489	16825	17512
490	16856	17474
491	16881	17430
492	16907	17388
493	16950	17362
494	16978	17321
495	17006	17280
496	17037	17243
497	17064	17201
498	17088	17157
499	17117	17117
500	17142	17073
501	17174	17037
502	17212	17007
503	17237	16963
504	17264	16922
505	17290	16879
506	17315	16837
507	17345	16798
508	17374	16760
509	17407	16724
510	17434	16684
511	17460	16642
512	17486	16600
513	17513	16559
514	17540	16518
515	17565	16475
516	17592	16435
517	17641	16415
518	17668	16374
519	17692	16331
520	17722	16294
521	17748	16252
522	17779	16215
523	17804	16173
524	17842	16143
525	17869	16102
526	17894	16061
527	17921	16020
528	17950	15982
529	17972	15938
530	18000	15898
531	18033	15863
532	18061	15825
533	18085	15782
534	18110	15741
535	18134	15698
536	18168	15664
537	18194	15624
538	18229	15591
539	18260	15554
540	18287	15515
541	18312	15474
542	18341	15436
543	18366	15395
544	18390	15353
545	18416	15313
546	18441	15272
547	18473	15237
548	18503	15200
549	18526	15158
550	18551	15117
551	18582	15081
552	18618	15049
553	18646	15011
554	18676	14974
555	18712	14942
556	18738	14903
557	18763	14862
558	18791	14824
559	18819	14786
560	18846	14748
561	18879	14713
562	18910	14678
563	18937	14639
564	18962	14599
565	18992	14563
566	19019	14524
567	19044	14484
568	19068	14444
569	19097	14407
570	19134	14375
571	19160	14336
572	19188	14299
573	19215	14260
574	19239	14220
575	19265	14181
576	19294	14144
577	19324	14108
578	19353	14072
579	19385	14037
580	19415	14001
581	19439	13961
582	19466	13923
583	19494	13886
584	19517	13845
585	19549	13811
586	19579	13775
587	19615	13744
588	19642	13706
589	19669	13668
590	19697	13631
591	19723	13592
592	19747	13553
593	19790	13527
594	19821	13491
595	19845	13452
596	19873	13415
597	19902	13379
598	19926	13339
599	19952	13301
600	19976	13262
601	20002	13224
602	20038	13192
603	20065	13155
604	20090	13116
605	20119	13080
606	20144	13042
607	20170	13004
608	20202	12971
609	20237	12938
610	20267	12903
611	20293	12866
612	20319	12827
613	20346	12790
614	20370	12752
615	20397	12715
616	20422	12677
617	20448	12639
618	20482	12607
619	20508	12569
620	20536	12533
621	20563	12496
622	20597	12464
623	20633	12433
624	20664	12398
625	20700	12367
626	20725	12329
627	20754	12294
628	20782	12257
629	20805	12219
630	20831	12181
631	20857	12144
632	20885	12108
633	20915	12074
634	20943	12038
635	20969	12001
636	20994	11964
637	21028	11931
638	21054	11894
639	21081	11858
640	21106	11821
641	21142	11789
642	21171	11754
643	21196	11717
644	21222	11680
645	21249	11644
646	21276	11608
647	21301	11571
648	21341	11541
649	21368	11506
650	21394	11469
651	21430	11438
652	21464	11406
653	21494	11371
654	21523	11337
655	21551	11301
656	21600	11277
657	21625	11239
658	21655	11205
659	21684	11170
660	21715	11137
661	21747	11103
662	21790	11075
663	21834	11048
664	21867	11015
665	21896	10981
666	21930	10948
667	21960	10914
668	21984	10877
669	22016	10844
670	22045	10809
671	22072	10773
672	22096	10736
673	22121	10699
674	22152	10666
675	22178	10629
676	22204	10594
677	22240	10562
678	22269	10528
679	22294	10491
680	22321	10455
681	22345	10419
682	22369	10382
683	22397	10347
684	22421	10310
685	22445	10273
686	22472	10238
687	22502	10204
688	22531	10170
689	22555	10133
690	22586	10099
691	22627	10071
692	22663	10040
693	22714	10015
694	22749	9983
695	22780	9950
696	22811	9916
697	22840	9882
698	22863	9845
699	22889	9809
700	22915	9774
701	22946	9740
702	22977	9707
703	23006	9673
704	23032	9637
705	23059	9602
706	23086	9567
707	23114	9532
708	23139	9497
709	23169	9463
710	23200	9430
711	23231	9396
712	23253	9360
713	23276	9323
714	23301	9288
715	23328	9253
716	23352	9217
717	23378	9182
718	23410	9149
719	23439	9115
720	23468	9081
721	23499	9048
722	23527	9014
723	23552	8978
724	23584	8945
725	23628	8917
726	23655	8882
727	23679	8847
728	23709	8813
729	23736	8779
730	23763	8744
731	23789	8709
732	23814	8674
733	23841	8640
734	23885	8611
735	23909	8576
736	23934	8541
737	23960	8506
738	23986	8471
739	24015	8438
740	24051	8406
741	24104	8381
742	24138	8349
743	24166	8315
744	24190	8279
745	24217	8245
746	24241	8210
747	24272	8177
748	24307	8145
749	24332	8110
750	24358	8076
751	24382	8040
752	24410	8007
753	24437	7972
754	24462	7938
755	24528	7916
756	24567	7886
757	24604	7855
758	24630	7820
759	24656	7786
760	24688	7753
761	24715	7719
762	24740	7684
763	24774	7653
764	24805	7619
765	24831	7585
766	24856	7550
767	24883	7516
768	24910	7482
769	24935	7448
770	24965	7415
771	24997	7382
772	25022	7348
773	25047	7313
774	25081	7281
775	25106	7247
776	25132	7212
777	25158	7178
778	25183	7144
779	25219	7113
780	25245	7078
781	25270	7044
782	25295	7010
783	25322	6976
784	25345	6941
785	25373	6908
786	25405	6875
787	25433	6842
788	25458	6808
789	25491	6776
790	25521	6743
791	25559	6712
792	25589	6679
793	25620	6647
794	25650	6614
795	25676	6580
796	25700	6546
797	25730	6513
798	25753	6478
799	25784	6446
800	25814	6413
801	25845	6380
802	25869	6346
803	25900	6313
804	25924	6279
805	25950	6246
806	25979	6213
807	26001	6178
808	26029	6145
809	26064	6113
810	26094	6081
811	26132	6050
812	26175	6020
813	26214	5990
814	26269	5963
815	26307	5932
816	26342	5900
817	26378	5869
818	26408	5836
819	26440	5804
820	26478	5773
821	26517	5742
822	26566	5713
823	26599	5681
824	26630	5648
825	26665	5617
826	26700	5585
827	26752	5557
828	26788	5525
829	26813	5491
830	26841	5458
831	26868	5425
832	26894	5391
833	26920	5358
834	26987	5332
835	27014	5299
836	27045	5266
837	27070	5233
838	27094	5199
839	27125	5166
840	27161	5135
841	27187	5101
842	27214	5068
843	27240	5035
844	27268	5001
845	27297	4969
846	27327	4936
847	27368	4905
848	27401	4873
849	27435	4841
850	27469	4809
851	27495	4776
852	27533	4744
853	27566	4712
854	27593	4679
855	27627	4647
856	27651	4613
857	27678	4580
858	27702	4547
859	27730	4514
860	27757	4481
861	27782	4447
862	27809	4414
863	27840	4382
864	27866	4349
865	27894	4316
866	27918	4282
867	27950	4250
868	27975	4217
869	28000	4183
870	28030	4151
871	28064	4119
872	28091	4086
873	28118	4053
874	28145	4020
875	28168	3987
876	28193	3954
877	28218	3921
878	28245	3888
879	28277	3856
880	28303	3823
881	28331	3790
882	28365	3758
883	28398	3726
884	28427	3693
885	28451	3660
886	28489	3629
887	28528	3598
888	28563	3566
889	28598	3534
890	28631	3502
891	28666	3470
892	28699	3438
893	28743	3408
894	28773	3375
895	28801	3342
896	28825	3309
897	28850	3276
898	28875	3244
899	28904	3211
900	28946	3180
901	28974	3148
902	29000	3115
903	29025	3082
904	29051	3049
905	29077	3016
906	29102	2984
907	29129	2951
908	29166	2919
909	29195	2887
910	29219	2854
911	29243	2821
912	29267	2788
913	29297	2756
914	29322	2723
915	29348	2691
916	29383	2659
917	29411	2627
918	29437	2594
919	29464	2562
920	29497	2530
921	29528	2498
922	29559	2465
923	29597	2434
924	29624	2401
925	29652	2369
926	29677	2337
927	29707	2304
928	29732	2272
929	29757	2239
930	29790	2207
931	29820	2175
932	29847	2143
933	29872	2110
934	29898	2078
935	29924	2046
936	29958	2014
937	29985	1982
938	30017	1950
939	30048	1918
940	30074	1885
941	30099	1853
942	30126	1820
943	30150	1788
944	30177	1756
945	30202	1724
946	30229	1691
947	30264	1660
948	30292	1627
949	30317	1595
950	30343	1563
951	30374	1531
952	30400	1499
953	30426	1467
954	30456	1435
955	30501	1403
956	30530	1371
957	30557	1339
958	30587	1307
959	30612	1275
960	30639	1243
961	30677	1211
962	30702	1179
963	30728	1147
964	30755	1115
965	30787	1083
966	30813	1051
967	30837	1019
968	30872	987
969	30898	955
970	30926	923
971	30958	891
972	30983	859
973	31010	827
974	31039	795
975	31065	763
976	31091	731
977	31123	700
978	31157	668
979	31190	636
980	31216	604
981	31241	572
982	31267	540
983	31293	508
984	31328	477
985	31356	445
986	31384	413
987	31408	381
988	31434	349
989	31466	317
990	31501	286
991	31533	254
992	31592	222
993	31623	190
994	31654	159
995	31685	127
996	31715	95
997	31756	63
998	31782	31
999	31811	0
