iter	Logloss
0	0.661229662
1	0.6335979036
2	0.6074350925
3	0.5863096399
4	0.5671745004
5	0.5472367111
6	0.5293563022
7	0.5122165752
8	0.4972221335
9	0.483169063
10	0.4707361738
11	0.459214861
12	0.4493707417
13	0.4398943727
14	0.4310856414
15	0.4232999111
16	0.4160976346
17	0.4096224496
18	0.4030725285
19	0.39734182
20	0.3916529325
21	0.3867139994
22	0.3813800926
23	0.3768177158
24	0.3727299323
25	0.3692351863
26	0.3666486737
27	0.3628974979
28	0.359947024
29	0.3571123726
30	0.3542705195
31	0.3510694572
32	0.3489120802
33	0.3460312841
34	0.3437922569
35	0.3415094752
36	0.3395263705
37	0.3371310848
38	0.335001013
39	0.3331894601
40	0.3320222212
41	0.3309002004
42	0.3295626236
43	0.3279085522
44	0.3265814688
45	0.32514715
46	0.3239068327
47	0.3224604008
48	0.3214814812
49	0.3205169195
50	0.319551696
51	0.3187864485
52	0.3174238093
53	0.3166030197
54	0.3158726834
55	0.3146963665
56	0.3131707352
57	0.312205294
58	0.3113509814
59	0.3104685129
60	0.3093857716
61	0.308568515
62	0.3078022323
63	0.3072100593
64	0.3064770839
65	0.3059440914
66	0.3052190058
67	0.3042946776
68	0.3035350608
69	0.3027445291
70	0.30230033
71	0.301576802
72	0.3007020332
73	0.3000790681
74	0.2991747619
75	0.2987415295
76	0.2981356248
77	0.2976514128
78	0.2973334438
79	0.296777141
80	0.2962068914
81	0.2958653615
82	0.2953394876
83	0.294557545
84	0.2940398328
85	0.2934431867
86	0.292743568
87	0.2922508149
88	0.2916688761
89	0.2906868928
90	0.2901456908
91	0.2895956352
92	0.2891191371
93	0.2884985891
94	0.2878619228
95	0.2874248075
96	0.2869433903
97	0.286619368
98	0.2862557332
99	0.2858963993
100	0.2853935375
101	0.2848478016
102	0.2839289642
103	0.2834222709
104	0.2829145709
105	0.2823707123
106	0.2817233352
107	0.2813689865
108	0.2810029539
109	0.2807316726
110	0.2804287389
111	0.2800162589
112	0.2795287148
113	0.2791282243
114	0.2786315825
115	0.2781841846
116	0.2778742816
117	0.2773966956
118	0.2770129728
119	0.2766990778
120	0.2763112126
121	0.2760230213
122	0.2757602194
123	0.2753298199
124	0.2750220996
125	0.27459036
126	0.2743158722
127	0.274133491
128	0.2738733552
129	0.2732201024
130	0.2729788961
131	0.2725898558
132	0.2722681491
133	0.2720174479
134	0.2718127565
135	0.2713897855
136	0.2712707225
137	0.2708783117
138	0.2703672398
139	0.2700150835
140	0.2696599827
141	0.2692970275
142	0.2689285976
143	0.2687222525
144	0.2683539916
145	0.2680328149
146	0.2676828544
147	0.2672107406
148	0.2669766149
149	0.2668036485
150	0.2666012585
151	0.2659940547
152	0.2656758806
153	0.2654267908
154	0.2652341679
155	0.2649795953
156	0.2647438572
157	0.2643684966
158	0.2641772467
159	0.263764658
160	0.2633721169
